X,Y,Region,material,Site,Feature Number,Excavation istitute,BP,Error,Type
127.902813,37.129878,경기,Charcoal,화성 발안리,30,기전문화재연구원,1780,50,呂·凸자형
126.903069,37.129636,경기,Charcoal,화성 발안리,51 ,기전문화재연구원,1800,50,방형
127.902813,37.129878,경기,Charcoal,화성 발안리,51,기전문화재연구원,1800,50,呂·凸자형
126.903069,37.129636,경기,Charcoal,화성 발안리,1  ,기전문화재연구원,1810,50,방형
127.902813,37.129878,경기,Charcoal,화성 발안리,1,기전문화재연구원,1810,50,呂·凸자형
126.903069,37.129636,경기,Charcoal,화성 발안리,5 ,기전문화재연구원,1840,60,방형
126.903069,37.129636,경기,Charcoal,화성 발안리,21  ,기전문화재연구원,1840,60,방형
127.902813,37.129878,경기,Charcoal,화성 발안리,5,기전문화재연구원,1840,60,呂·凸자형
127.902813,37.129878,경기,Charcoal,화성 발안리,21,기전문화재연구원,1840,60,呂·凸자형
126.903069,37.129636,경기,Charcoal,화성 발안리,27 ,기전문화재연구원,1850,50,방형
127.902813,37.129878,경기,Charcoal,화성 발안리,27,기전문화재연구원,1850,50,呂·凸자형
126.903069,37.129636,경기,Charcoal,화성 발안리,24 ,기전문화재연구원,1890,50,방형
127.902813,37.129878,경기,Charcoal,화성 발안리,24,기전문화재연구원,1890,50,呂·凸자형
126.903069,37.129636,경기,Charcoal,화성 발안리,12  ,기전문화재연구원,1950,50,방형
127.902813,37.129878,경기,Charcoal,화성 발안리,12,기전문화재연구원,1950,50,呂·凸자형
126.903069,37.129636,경기,Charcoal,화성 발안리,28 ,기전문화재연구원,1970,50,방형
127.902813,37.129878,경기,Charcoal,화성 발안리,28,기전문화재연구원,1970,50,呂·凸자형
126.903069,37.129636,경기,Charcoal,화성 발안리,19  ,기전문화재연구원,2080,50,방형
127.902813,37.129878,경기,Charcoal,화성 발안리,19,기전문화재연구원,2080,50,呂·凸자형
127.07208,37.205312,경기,Charcoal,화성 석우리,7 ,경기문화재연구원,1723,23,방형
127.07208,37.205312,경기,Charcoal,화성 석우리,6 ,경기문화재연구원,1730,36,방형
126.952196,37.075479,경기,Charcoal,화성 신왕리,2-1,서경문화재연구원,1700,30,呂·凸자형
126.946822,37.192675,경기,Charcoal,화성 왕림리 노리재골,1  ,중부고고학연구소,1620,40,방형
126.966868,37.11245,경기,Charcoal,화성 요리,2,화서문화재연구원,1680,30,방형
126.966868,37.11245,경기,Charcoal,화성 요리,4,화서문화재연구원,1610,30,방형
126.781242,37.079331,경기,Charcoal,화성 운평리,1,청구고고연구원,1730,30,타원형
126.893393,37.126708,경기,Unknown,화성 제암리,1,한양문화재연구원,1590,30,방형
127.098028,37.19868,경기,Unknown,화성 청계리,마-A-26 ,한백문화재연구원,1590,30 ,방형
127.098028,37.19868,경기,Unknown,화성 청계리,마-A-36,한백문화재연구원,1630,30 ,방형
127.098028,37.19868,경기,Unknown,화성 청계리,마-A-28,한백문화재연구원,1650,30 ,방형
127.098028,37.19868,경기,Unknown,화성 청계리,마-A-63  ,한백문화재연구원,1700,30 ,방형
127.098028,37.19868,경기,Unknown,화성 청계리,마-A-4,한백문화재연구원,1730,40 ,방형
127.098028,37.19868,경기,Unknown,화성 청계리,마-A Pottery,한백문화재연구원,1860,40 ,방형
